"beginyear","title"
1300,"Florentine currency becomes international money"
1301,"Árpád dynasty ends in Hungary"
1302,"Black Guelphs make Dante an exile; Unam Sanctam papal bull asserts papal supremacy"
1303,"Avoirdupois weight system ratified for use in England"
1304,"Birth of Petrarch; English take Stirling Castle"
1305,"Execution of William Wallace; death of Spanish rabbi Moses de León"
1306,"Scottish Wars of Independence begin"
1307,"Mass arrest and torture of Knights Templar; Fra Dolcino burned"
1308,"About now Dante begins Divina Commedia"
1309,"Papacy moves to Avignon; Rhodes captured by Knights of St. John"
1310,"Dante completes Inferno; 54 Knights Templar burned at stake"
1311,"Barons impose the Ordinances of 1311 on Edward II"
1312,"Lancelotto Malocello rediscovers Canary Islands"
1313,"Publication of Wang Zhen's Nong Shu (Book of Agriculture) in China"
1314,"Battle of Bannockburn; Hereford Mappa Mundi shows Jerusalem at centre of world"
1315,"Famine in Europe; Cairo is largest city in world"
1316,"Inflation causes pound sterling to lose half its value"
1317,"Great Famine ends; civil war starts in Sweden"
1318,"English retake Berwick-upon-Tweed; Pope declares Franciscan doctrines erroneous"
1319,"Sweden and Norway temporarily united"
1320,"Scottish independence affirmed in Declaration of Arbroath"
1321,"Failure of harvest brings famine in Europe"
1322,"Central tower of Ely Cathedral collapses; Jews expelled from France"
1323,"Earthquake destroys remains of Lighthouse of Alexandria"
1324,"Mansa Musa makes hajj to Mecca; Petronilla de Meath burned as witch"
1325,"Ibn Battuta begins his travels; Tenochtitlan founded"
1326,"First use of 'cannon' to refer to weapon"
1327,"Murder of Edward II; Petrarch begins composition of Rime sparse "
1328,"Treaty of Edinburgh-Northampton recognizes Scottish independence"
1329,"Edward III pays homage to king of France"
1330,"Birth of Edward, the Black Prince"
1331,"Genk? War begins in Japan"
1332,"Birth of historian Ibn Khald?n; Battles of Dupplin Moor and Annan"
1333,"Scots defeated at Battle of Halidon Hill"
1334,"First record of Black Death in China; construction starts on campanile of Florence Cathedral"
1335,"Sweden outlaws slavery or serfdom for Christians"
1336,"Petrarch's ascent of Mount Ventoux; Aberdeen burned"
1337,"Start of Hundred Years' War between England and France; birth of Jean Froissart"
1338,"English invasion of France; French navy attacks Portsmouth"
1339,"Florence becomes first city with entirely paved streets"
1340,"French fleet decimated at Battle of Sluys"
1341,"Petrarch becomes poet laureate in Rome"
1342,"Start of reign of Clement VI; Louis the Child becomes King of Sicily"
1343,"Papal bull Unigenitus outlines Catholic system of indulgences; tsunami devastates Amalfi"
1344,"Banks in Florence bankrupted; death of painter Simone Martini"
1345,"Turks attack Smyrna; English victories in France at the Battles of Auberoche and Aiguillon"
1346,"English invade France; Battle of Crécy and start of Siege of Calais"
1347,"English seize Calais; Black Death arrives in Italy; death of William of Ockham"
1348,"Creation of the Order of the Garter; start of Black Death pandemic in England"
1349,"Jews murdered across Europe in reaction to Black Death"
1350,"Castilian defeat at Battle of Les Espagnols sur Mer off Winchelsea"
1351,"Statute of Labourers enacted; Turkish army enters Europe for first time"
1352,"Çimpe Castle is first territory in Europe seized by Turks"
1353,"Boccaccio finishes The Decameron"
1354,"Mob kills Cola di Rienzo in Rome; Sultan of Granada assassinated"
1355,"Civil war starts in Portugal; Scots defeat English at Battle of Nesbit Moor"
1356,"Battle of Poitiers: English victory, French king captured"
1357,"David II of Scotland ransomed from the English; Shroud of Turin first exhibited"
1358,"Jacquerie revolt takes place in northern France; Nanjing in China is world's largest city"
1359,"English besiege Calais"
1360,"James Le Palmer compiles Omne Bonum, the first encyclopedia alphabetically arranged"
1361,"Petrarch's son dies of the plague"
1362,"Parliament addressed in English for first time"
1363,"Battle of Lake Poyang: largest naval battle of Middle Ages fought near Nanchang in China"
1364,"Victory of Anglo-Breton forces at Battle of Auray"
1365,"Alexandrian Crusade; Adrianopole becomes Ottoman capital"
1366,"Start of Castilian Civil War"
1367,"Urban V tries to move papacy back to Rome"
1368,"Royal Library founded at the Louvre in Paris; construction starts on Great Wall of China"
1369,"Black Death revives in England; war begins again between England and France"
1370,"Start of reign of the last Avignon Pope, Gregory XI"
1371,"Start of reign of Robert II, first Stuart king of Scotland; London Charterhouse founded"
1372,"British setback against French and Castilians at Battle of La Rochelle"
1373,"Julian of Norwich experiences visions on her deathbed: the Revelations of Divine Love"
1374,"Death of Petrarch; dancing mania begins in Aachen; plague returns to Europe"
1375,"Heavy setbacks for English in France codified by Treaty of Bruges"
1376,"Good Parliament meets; first recorded performances of the York Mystery Plays"
1377,"Bad Parliament meets; Wycliffe examined on suspicion of heresy"
1378,"Election of antipope starts Western Schism ('Great Schism') in Church"
1379,"Founding of New College, Oxford"
1380,"Companhia das Naus founded to develop Portuguese navy"
1381,"Peasants' Revolt, led by Wat Tyler; start of Lollardy movement"
1382,"Translation of Bible into English by Wycliffe; founding of Winchester College"
1383,"Completion of the Bastille"
1384,"Lisbon besieged by Castilian army"
1385,"Approximate date of Troilus and Criseyde by Chaucer"
1386,"Treaty of Windsor between England and Portugal; Wonderful Parliament meets"
1387,"After Battle of Radcot Bridge Richard II surrenders power to the Lords Appellant"
1388,"Merciless Parliament punishes advisers of Richard II"
1389,"Second phase of Hundred Years' War ends; Richard II regains power"
1390,"Death of poet H?fez"
1391,"Anti-Jewish riots and massacres in Spain and Portugal"
1392,"Great Act of Praemunire restrains papal authority in England"
1393,"Byzantium loses Thessaly to the Ottomans"
1394,"Expulsion ordered of all Jews from France; start of Ottoman siege of Constantinople"
1395,"Twelve Conclusions of the Lollards document published"
1396,"Defeat at Battle of Nicopolis ends last major crusade"
1397,"Revenge Parliament: Richard II exacts revenge on Lords Appellant"
1398,"Siege begins of papal palace in Avignon; English destruction of Glendalough Monastery, Ireland"
1399,"Completion of the Wilton Diptych; Richard II forced to abdicate in favour of Henry IV"
1400,"Richard II murdered; Byzantine Emperor visits England"
1401,"William Sawtrey, a Lollard, burned alive in London"
1402,"Canary Islands colonized; Battle of Homildon Hill"
1403,"Henry Percy killed at Battle of Shrewsbury"
1404,"Owain Glynd?r declares himself Prince of Wales and allies with French"
1405,"Christine de Pizan writes The Book of the City of Ladies; death of Jean Froissart"
1406,"Construction begins on the Forbidden City in Beijing"
1407,"Assassination in Paris of the Duke of Orléans"
1408,"Battle of Bramham Moor; Aberystwyth retaken from Owain Glynd?r"
1409,"Welsh surrender Harlech Castle to English; Council of Pisa"
1410,"Teutonic Knights defeated at Battle of Grunwald"
1411,"Birth of Duke of York, claimant to the throne; Battle of Harlaw"
1412,"Limbourg Brothers begin Les Très riches heures du Duc de Berry"
